category,Star_Rating
Pet Photography,5.0
Ayurveda,5.0
Cafeteria,5.0
Software Development,5.0
Packing Supplies,5.0
Home Window Tinting,5.0
Aquarium Services,5.0
Wallpapering,5.0
Event Photography,5.0
Real Estate Photography,5.0
Cardio Classes,5.0
Wedding Chapels,5.0
Music Production Services,5.0
Advertising,5.0
Tai Chi,5.0
Disc Golf,5.0
Bus Tours,5.0
Diving,5.0
Wine Tours,5.0
House Sitters,5.0
Customized Merchandise,5.0
Wine Tasting Classes,5.0
Insulation Installation,5.0
Special Education,5.0
Hydro-jetting,5.0
Adult Entertainment,5.0
Tutoring Centers,5.0
Gunsmith,5.0
Acne Treatment,5.0
Nail Technicians,5.0
Float Spa,5.0
Security Services,5.0
Rolfing,5.0
Decks & Railing,5.0
Private Tutors,5.0
Auto Security,5.0
Auto Upholstery,5.0
Funeral Services & Cemeteries,5.0
Furniture Rental,5.0
Session Photography,5.0
Furniture Repair,5.0
Scuba Diving,5.0
High Fidelity Audio Equipment,5.0
Spiritual Shop,5.0
Test Preparation,5.0
Septic Services,5.0
Personal Chefs,5.0
Montessori Schools,5.0
Permanent Makeup,4.875
Dance Schools,4.833333333333333
Paint & Sip,4.833333333333333
Pilates,4.833333333333333
Graphic Design,4.8125
Barre Classes,4.8125
Photo Booth Rentals,4.75
Food Tours,4.75
Screen Printing/T-Shirt Printing,4.75
Team Building Activities,4.75
Cycling Classes,4.75
Butcher,4.75
Fishing,4.75
Auto Customization,4.75
Refinishing Services,4.75
Pet Hospice,4.75
Art Schools,4.75
Dog Walkers,4.722222222222222
Distilleries,4.7
Packing Services,4.666666666666667
Business Consulting,4.666666666666667
Saunas,4.666666666666667
Drywall Installation & Repair,4.666666666666667
Interval Training Gyms,4.642857142857143
Marketing,4.642857142857143
Hiking,4.642857142857143
Personal Shopping,4.625
Tea Rooms,4.625
Challenge Courses,4.625
Videographers,4.6
Data Recovery,4.6
Wineries,4.6
Web Design,4.55
Martial Arts,4.55
Boxing,4.5
Botanical Gardens,4.5
Framing,4.5
Walking Tours,4.5
Boat Dealers,4.5
Seafood Markets,4.5
Architectural Tours,4.5
Condominiums,4.5
Bespoke Clothing,4.5
Bartenders,4.5
Chiropractors,4.5
Knife Sharpening,4.5
International Grocery,4.5
Furniture Reupholstery,4.5
Bike tours,4.5
Paint-Your-Own Pottery,4.5
Officiants,4.5
Speakeasies,4.5
Swimwear,4.5
Photographers,4.5
Radiologists,4.5
Emergency Rooms,4.5
Gastroenterologist,4.5
Flight Instruction,4.5
Pressure Washers,4.5
Leisure Centers,4.5
TV Mounting,4.5
Threading Services,4.5
Home Automation,4.5
Indoor Landscaping,4.5
Aircraft Dealers,4.5
Races & Competitions,4.5
Anesthesiologists,4.5
Observatories,4.5
Metal Fabricators,4.5
Screen Printing,4.5
Solar Installation,4.5
Hot Pot,4.5
Reptile Shops,4.5
Whiskey Bars,4.5
Malaysian,4.5
Colombian,4.5
Soccer,4.5
Country Clubs,4.5
Tasting Classes,4.5
Shaved Ice,4.5
DJs,4.5
Cooking Classes,4.5
Motorsport Vehicle Dealers,4.5
Party Bike Rentals,4.5
Lakes,4.5
Trinidadian,4.5
Aircraft Repairs,4.5
Popcorn Shops,4.5
Lice Services,4.5
Perfume,4.5
Mountain Biking,4.5
Venezuelan,4.5
Musicians,4.5
Art Galleries,4.4772727272727275
Yoga,4.470588235294118
Bed & Breakfast,4.45
Traditional Chinese Medicine,4.4375
Colleges & Universities,4.428571428571429
Candy Stores,4.409090909090909
Coffee Roasteries,4.4
Vinyl Records,4.4
Fruits & Veggies,4.375
Pet Boarding,4.375
Makeup Artists,4.357142857142857
Landmarks & Historical Buildings,4.357142857142857
Paddleboarding,4.333333333333333
Art Classes,4.333333333333333
Life Coach,4.333333333333333
Brewing Supplies,4.333333333333333
Herbs & Spices,4.333333333333333
Rafting/Kayaking,4.333333333333333
Naturopathic/Holistic,4.333333333333333
Henna Artists,4.333333333333333
Wine Tasting Room,4.333333333333333
Educational Services,4.333333333333333
Medical Spas,4.333333333333333
Gift Shops,4.32258064516129
Veterinarians,4.315789473684211
Dance Studios,4.3125
Bike Repair/Maintenance,4.3076923076923075
Tattoo,4.305555555555555
Escape Games,4.3
Eyebrow Services,4.285714285714286
Chocolatiers & Shops,4.285714285714286
Performing Arts,4.285714285714286
Painters,4.285714285714286
Acupuncture,4.282608695652174
Dog Parks,4.277777777777778
Carpet Cleaning,4.277777777777778
Bike Rentals,4.275
Boot Camps,4.2727272727272725
Massage Therapy,4.2625
Fitness & Instruction,4.25206611570248
Reiki,4.25
Cooking Schools,4.25
Churches,4.25
Parks,4.25
Farmers Market,4.25
Empanadas,4.25
Smokehouse,4.25
Electricians,4.25
Supernatural Readings,4.25
Swimming Pools,4.25
Art Museums,4.25
Airports,4.25
Cuban,4.25
Yelp Events,4.25
Wildlife Control,4.25
Orthopedists,4.25
Home Theatre Installation,4.25
Food Trucks,4.233333333333333
Office Cleaning,4.2272727272727275
Piercing,4.222222222222222
Kids Activities,4.222222222222222
Endodontists,4.21875
Food Stands,4.21875
Home Inspectors,4.214285714285714
Physical Therapy,4.214285714285714
Beer Gardens,4.214285714285714
Waxing,4.2073170731707314
Gymnastics,4.2
Bikes,4.2
Transmission Repair,4.2
Local Flavor,4.2
Wholesale Stores,4.2
Pet Sitting,4.173076923076923
Hair Removal,4.171875
Video Game Stores,4.166666666666667
Cosmetic Surgeons,4.166666666666667
Street Vendors,4.166666666666667
Social Clubs,4.166666666666667
Religious Organizations,4.166666666666667
Watch Repair,4.166666666666667
Roadside Assistance,4.166666666666667
Russian,4.166666666666667
Laundromat,4.166666666666667
Jewelry,4.153846153846154
Wedding Planning,4.148148148148148
Pets,4.147058823529412
Blow Dry/Out Services,4.142857142857143
Libraries,4.142857142857143
Gyms,4.133333333333334
Massage,4.131578947368421
Fitness/Exercise Equipment,4.125
Cheese Shops,4.125
Air Duct Cleaning,4.125
Battery Stores,4.125
Flowers & Gifts,4.121212121212121
Education,4.119047619047619
Museums,4.111111111111111
Active Life,4.104938271604938
Pet Services,4.1022727272727275
Auto Glass Services,4.09375
Eyelash Service,4.090909090909091
Cosmetic Dentists,4.090909090909091
Pediatric Dentists,4.088235294117647
Party & Event Planning,4.085714285714285
Jewelry Repair,4.083333333333333
Windshield Installation & Repair,4.083333333333333
Day Spas,4.078125
Child Care & Day Care,4.071428571428571
Soul Food,4.071428571428571
Specialty Schools,4.068965517241379
Vape Shops,4.0625
Trainers,4.0625
French,4.055555555555555
Nutritionists,4.055555555555555
Boating,4.055555555555555
Specialty Food,4.05188679245283
Vegan,4.0476190476190474
Body Shops,4.035714285714286
Arts & Crafts,4.027397260273973
Dentists,4.0234375
Historical Tours,4.0
Shoe Repair,4.0
Falafel,4.0
Adult Education,4.0
Summer Camps,4.0
Guns & Ammo,4.0
Gold Buyers,4.0
Festivals,4.0
Musical Instrument Services,4.0
Farm Equipment Repair,4.0
Luggage,4.0
Children's Museums,4.0
Radio Stations,4.0
Modern European,4.0
Christmas Trees,4.0
Sri Lankan,4.0
Zoos,4.0
Bistros,4.0
Departments of Motor Vehicles,4.0
Mini Golf,4.0
Beer Tours,4.0
British,4.0
Hawaiian,4.0
Wholesalers,4.0
Carpenters,4.0
Roof Inspectors,4.0
Print Media,4.0
Commercial Truck Dealers,4.0
Criminal Defense Law,4.0
Chicken Shop,4.0
Lebanese,4.0
Persian/Iranian,4.0
Comedy Clubs,4.0
Hot Dogs,4.0
Organic Stores,4.0
Parenting Classes,4.0
Floral Designers,4.0
Laotian,4.0
Basque,4.0
Vehicle Shipping,4.0
Water Heater Installation/Repair,4.0
Attraction Farms,4.0
Meditation Centers,4.0
Wraps,4.0
Oral Surgeons,4.0
Reflexology,4.0
Ethnic Grocery,4.0
Piano Stores,4.0
Trampoline Parks,4.0
Home Staging,4.0
Cheese Tasting Classes,4.0
Livestock Feed & Supply,4.0
Gun/Rifle Ranges,4.0
Playgrounds,4.0
Vitamins & Supplements,4.0
Paint Stores,4.0
Maternity Wear,4.0
Kosher,4.0
Stadiums & Arenas,4.0
General Dentistry,3.9915254237288136
Bakeries,3.988235294117647
Florists,3.9814814814814814
Cafes,3.9698795180722892
Ethnic Food,3.96875
Cards & Stationery,3.9583333333333335
Watches,3.9545454545454546
Pet Stores,3.951219512195122
Arts & Entertainment,3.9452554744525545
Pet Groomers,3.9431818181818183
Home Cleaning,3.94
Peruvian,3.9375
Sports Medicine,3.9285714285714284
Garage Door Services,3.9285714285714284
Plumbing,3.9285714285714284
Comic Books,3.9285714285714284
Health & Medical,3.9236641221374047
Music & DVDs,3.9210526315789473
Party Equipment Rentals,3.9166666666666665
Kitchen & Bath,3.9166666666666665
Tiling,3.9166666666666665
Real Estate Agents,3.90625
Community Service/Non-Profit,3.9
Weight Loss Centers,3.888888888888889
Coffee & Tea,3.8867924528301887
Pet Training,3.8863636363636362
Tours,3.8846153846153846
Hair Salons,3.880794701986755
Junk Removal & Hauling,3.875
Video/Film Production,3.875
Skate Shops,3.875
Juice Bars & Smoothies,3.875
Taiwanese,3.875
Barbers,3.875
Guitar Stores,3.875
Beer,3.8714285714285714
Wine & Spirits,3.8714285714285714
Appliances & Repair,3.8684210526315788
Public Services & Government,3.8676470588235294
Tapas/Small Plates,3.8666666666666667
Caribbean,3.8636363636363638
Skin Care,3.86046511627907
Southern,3.857142857142857
Imported Food,3.857142857142857
Sporting Goods,3.8556701030927836
Musical Instruments & Teachers,3.85
Wine Bars,3.8448275862068964
Breweries,3.84375
Mags,3.84375
Books,3.84375
Music & Video,3.84375
Sports Wear,3.842857142857143
Bookstores,3.8421052631578947
Outlet Stores,3.8333333333333335
Creperies,3.8333333333333335
Supper Clubs,3.8333333333333335
Pakistani,3.8333333333333335
Preschools,3.8333333333333335
Jazz & Blues,3.8333333333333335
Ramen,3.8333333333333335
Hookah Bars,3.8333333333333335
Middle Eastern,3.8333333333333335
Laser Eye Surgery/Lasik,3.8333333333333335
Health Markets,3.8333333333333335
Lingerie,3.8333333333333335
Elementary Schools,3.8333333333333335
Car Stereo Installation,3.8333333333333335
Belgian,3.8333333333333335
Indian,3.826923076923077
Gluten-Free,3.825
Desserts,3.8191489361702127
Beauty & Spas,3.816353887399464
Antiques,3.8157894736842106
Tobacco Shops,3.8125
Hardware Stores,3.8125
Periodontists,3.8076923076923075
Heating & Air Conditioning/HVAC,3.8
Himalayan/Nepalese,3.8
Amateur Sports Teams,3.8
Meat Shops,3.7857142857142856
Ice Cream & Frozen Yogurt,3.7785714285714285
Vegetarian,3.772727272727273
Electronics Repair,3.763157894736842
Food,3.7582025677603426
Home Decor,3.7580645161290325
Boat Repair,3.75
University Housing,3.75
Children's Clothing,3.75
Leather Goods,3.75
Hair Extensions,3.75
Ethiopian,3.75
Mobile Phone Repair,3.75
Cupcakes,3.75
Water Delivery,3.75
Talent Agencies,3.75
Laser Tag,3.75
Tabletop Games,3.75
Farms,3.75
Brewpubs,3.75
Tapas Bars,3.75
Emergency Pet Hospital,3.75
Motorcycle Gear,3.75
Cardiologists,3.75
Head Shops,3.75
IT Services & Computer Repair,3.75
Poke,3.75
Hair Stylists,3.75
Mediterranean,3.7439024390243905
Latin American,3.735294117647059
Toy Stores,3.7333333333333334
Men's Hair Salons,3.7222222222222223
Family Practice,3.7142857142857144
Local Services,3.7110726643598615
Gastropubs,3.7058823529411766
Arcades,3.7
Recycling Center,3.7
Glass & Mirrors,3.7
Bridal,3.7
Costumes,3.7
Computers,3.6944444444444446
Auto Repair,3.6893491124260356
Caterers,3.6885245901639343
Thrift Stores,3.6774193548387095
Barbeque,3.676470588235294
Event Planning & Services,3.675767918088737
Interior Design,3.675
Breakfast & Brunch,3.6747967479674797
Shopping,3.6690647482014387
Pawn Shops,3.6666666666666665
Used Car Dealers,3.6666666666666665
Clock Repair,3.6666666666666665
Countertop Installation,3.6666666666666665
Resorts,3.6666666666666665
Brasseries,3.6666666666666665
Driving Schools,3.6666666666666665
Brazilian,3.6666666666666665
Hunting & Fishing Supplies,3.6666666666666665
Orthodontists,3.659090909090909
Auto Parts & Supplies,3.656716417910448
Beer Bar,3.65625
Hobby Shops,3.652173913043478
Printing Services,3.652173913043478
Cocktail Bars,3.65
Venues & Event Spaces,3.647887323943662
Golf,3.642857142857143
Window Washing,3.642857142857143
Home & Garden,3.63265306122449
Outdoor Gear,3.6315789473684212
Pubs,3.6296296296296298
Eyewear & Opticians,3.629032258064516
Internet Cafes,3.625
Auto Detailing,3.625
Recreation Centers,3.625
Pasta Shops,3.625
Food Court,3.625
Optometrists,3.619047619047619
Self Storage,3.6176470588235294
Thai,3.6166666666666667
Donuts,3.6153846153846154
Music Venues,3.6142857142857143
Sewing & Alterations,3.611111111111111
Grocery,3.61
Tires,3.606060606060606
Spanish,3.6
Custom Cakes,3.6
Party Bus Rentals,3.6
Signmaking,3.6
Internal Medicine,3.6
Moroccan,3.6
Professional Services,3.599009900990099
Oil Change Stations,3.598360655737705
Art Supplies,3.5952380952380953
Office Equipment,3.590909090909091
Keys & Locksmiths,3.588235294117647
Pet Adoption,3.5833333333333335
Delis,3.581967213114754
Korean,3.5714285714285716
Lounges,3.5657894736842106
Wheel & Rim Repair,3.5625
Accessories,3.5609756097560976
Movers,3.56
Greek,3.5588235294117645
Party Supplies,3.5555555555555554
Vietnamese,3.5555555555555554
Fish & Chips,3.5555555555555554
Dive Bars,3.55
Contractors,3.547169811320755
Hospitals,3.5416666666666665
Nail Salons,3.5408163265306123
Flooring,3.53125
Seafood,3.5294117647058822
Fashion,3.522277227722772
Appliances,3.52
Automotive,3.5187713310580206
Nightlife,3.5186104218362284
Bars,3.5120967741935485
Dermatologists,3.5
Beaches,3.5
Bubble Tea,3.5
Damage Restoration,3.5
Sports Clubs,3.5
Podiatrists,3.5
Pick Your Own Farms,3.5
Turkish,3.5
Animal Shelters,3.5
Religious Schools,3.5
Pool Halls,3.5
Waffles,3.5
Blood & Plasma Donation Centers,3.5
Indonesian,3.5
Appraisal Services,3.5
Pretzels,3.5
Tacos,3.5
Gutter Services,3.5
Digitizing Services,3.5
Home Organization,3.5
Rugs,3.5
Synagogues,3.5
Argentine,3.5
Accountants,3.5
Career Counseling,3.5
Personal Assistants,3.5
Water Purification Services,3.5
Cheesesteaks,3.5
Piano Bars,3.5
Golf Lessons,3.5
Filipino,3.5
Grout Services,3.5
Used Bookstore,3.5
Middle Schools & High Schools,3.5
Health Retreats,3.5
Medical Supplies,3.5
Campgrounds,3.5
Home Health Care,3.5
Gay Bars,3.5
Pub Food,3.5
Dim Sum,3.5
Climbing,3.5
Embroidery & Crochet,3.5
Train Stations,3.5
Rock Climbing,3.5
German,3.5
Haunted Houses,3.5
Videos & Video Game Rental,3.5
Cajun/Creole,3.5
Hostels,3.5
Japanese,3.486842105263158
American (New),3.4842767295597485
Furniture Stores,3.480769230769231
Sushi Bars,3.46875
Used,3.467741935483871
Building Supplies,3.467741935483871
Vintage & Consignment,3.467741935483871
Nurseries & Gardening,3.467741935483871
Baby Gear & Furniture,3.4583333333333335
Restaurants,3.4469750889679713
Home Services,3.446969696969697
Asian Fusion,3.4423076923076925
Pediatricians,3.4375
Post Offices,3.4285714285714284
Women's Clothing,3.426470588235294
Motorcycle Repair,3.4166666666666665
Spray Tanning,3.4166666666666665
Towing,3.4166666666666665
Mexican,3.406716417910448
Ski & Snowboard Shops,3.4
Halal,3.4
Laser Hair Removal,3.4
Do-It-Yourself Food,3.4
Plus Size Fashion,3.4
Steakhouses,3.4
Airport Shuttles,3.4
Comfort Food,3.3947368421052633
Sandwiches,3.3866995073891624
Medical Centers,3.3857142857142857
American (Traditional),3.3847736625514404
Mattresses,3.38
Limos,3.375
Lighting Fixtures & Equipment,3.375
Mass Media,3.375
Car Buyers,3.375
Knitting Supplies,3.375
Karaoke,3.375
Doctors,3.3706896551724137
Food Delivery Services,3.3666666666666667
Soup,3.3541666666666665
Mortgage Brokers,3.35
Car Dealers,3.347457627118644
Salad,3.339622641509434
Cosmetology Schools,3.3333333333333335
Irish,3.3333333333333335
Shipping Centers,3.3333333333333335
Cabinetry,3.3333333333333335
Couriers & Delivery Services,3.3333333333333335
Siding,3.3333333333333335
Telecommunications,3.3333333333333335
Afghan,3.3333333333333335
Dry Cleaning,3.3333333333333335
Fabric Stores,3.3333333333333335
Chinese,3.324468085106383
Shoe Stores,3.3194444444444446
Obstetricians & Gynecologists,3.3125
Diners,3.310344827586207
Men's Clothing,3.3088235294117645
Italian,3.3073394495412844
Handyman,3.3
Utilities,3.3
Sports Bars,3.2816901408450705
Banks & Credit Unions,3.2794117647058822
Cosmetics & Beauty Supply,3.276595744680851
Photography Stores & Services,3.275
Hotels,3.2637362637362637
Hotels & Travel,3.2517482517482517
African,3.25
Cantonese,3.25
Gas Stations,3.25
Door Sales/Installation,3.25
Carpeting,3.25
Fertility,3.25
Tax Services,3.25
Motorcycle Dealers,3.25
Security Systems,3.25
Fire Protection Services,3.25
Financial Services,3.2452830188679247
Real Estate Services,3.24
Ophthalmologists,3.227272727272727
Bagels,3.21875
Cinema,3.21875
Pizza,3.212328767123288
Amusement Parks,3.2
Tree Services,3.2
Noodles,3.1875
Burgers,3.18359375
Drugstores,3.1794871794871793
Gelato,3.1666666666666665
Formal Wear,3.15
Bowling,3.15
Windows Installation,3.15
Real Estate,3.1271929824561404
Hot Tub & Pool,3.125
Electronics,3.116279069767442
Department Stores,3.1153846153846154
Convenience Stores,3.111111111111111
Gardeners,3.1
Tanning,3.0806451612903225
Property Management,3.0526315789473686
Dance Clubs,3.03125
Fondue,3.0
Skating Rinks,3.0
RV Dealers,3.0
Uniforms,3.0
Carpet Installation,3.0
CPR Classes,3.0
Rehabilitation Center,3.0
Szechuan,3.0
Irrigation,3.0
Golf Equipment,3.0
Tiki Bars,3.0
Vacation Rentals,3.0
Irish Pub,3.0
Fences & Gates,3.0
Home & Rental Insurance,3.0
Urgent Care,3.0
Psychologists,3.0
Mobile Dent Repair,3.0
Cambodian,3.0
Poutineries,3.0
Donation Center,3.0
Basketball Courts,3.0
Waterproofing,3.0
Discount Store,3.0
Roofing,2.95
Car Wash,2.9375
Car Rental,2.9285714285714284
Insurance,2.9166666666666665
Snow Removal,2.9166666666666665
Fast Food,2.904109589041096
Laundry Services,2.9027777777777777
Dry Cleaning & Laundry,2.9027777777777777
Mongolian,2.875
Truck Rental,2.857142857142857
Boat Charters,2.8333333333333335
Pharmacy,2.8333333333333335
Landscaping,2.8125
Notaries,2.8125
Mobile Phones,2.810810810810811
Tex-Mex,2.810344827586207
Adult,2.8
Auto Insurance,2.8
Apartments,2.7846153846153845
Buffets,2.7666666666666666
Fireplace Services,2.75
Shopping Centers,2.75
Payroll Services,2.75
Farming Equipment,2.75
Counseling & Mental Health,2.75
Chicken Wings,2.730769230769231
Taxis,2.6875
Parking,2.6666666666666665
Masonry/Concrete,2.6666666666666665
Pest Control,2.6666666666666665
Shades & Blinds,2.6
Employment Agencies,2.5714285714285716
Orthotics,2.5
Car Window Tinting,2.5
Medical Transportation,2.5
Pop-up Shops,2.5
General Litigation,2.5
Nanny Services,2.5
Pet Breeders,2.5
Tubing,2.5
Investing,2.5
Pool & Hot Tub Service,2.5
Estate Liquidation,2.5
Travel Services,2.5
Allergists,2.5
Neurologist,2.5
RV Repair,2.5
Surgeons,2.5
Hats,2.5
Car Share Services,2.5
Jet Skis,2.5
Urologists,2.5
Transportation,2.46875
Mobile Phone Accessories,2.4285714285714284
Propane,2.375
Tanning Beds,2.3333333333333335
Diagnostic Services,2.3333333333333335
Diagnostic Imaging,2.3333333333333335
RV Rental,2.25
Internet Service Providers,2.25
Pain Management,2.25
Lawyers,2.125
Chimney Sweeps,2.0
Auto Loan Providers,2.0
Police Departments,2.0
Horseback Riding,2.0
Horse Boarding,2.0
Casinos,2.0
Financial Advising,2.0
Holiday Decorations,2.0
Landscape Architects,1.8333333333333333
Television Service Providers,1.8125
Television Stations,1.5
Buses,1.5
Patio Coverings,1.5
Commercial Real Estate,1.5
Life Insurance,1.5
Divorce & Family Law,1.5
ATV Rentals/Tours,1.0
Employment Law,1.0
Personal Injury Law,1.0
Estate Planning Law,1.0
Health Insurance Offices,1.0
Airlines,1.0
